batch_characters,iteration,model,latency_ns
1,397,structured_50,160000
1,397,dense,197600
1,398,dense,185400
1,398,structured_50,162600
1,399,structured_50,156900
1,399,dense,190900
1,400,dense,185900
1,400,structured_50,189200
1,401,structured_50,169800
1,401,dense,174100
1,402,dense,207500
1,402,structured_50,182100
1,403,structured_50,162700
1,403,dense,200000
1,404,dense,192000
1,404,structured_50,177700
1,405,structured_50,182400
1,405,dense,196800
1,406,dense,178800
1,406,structured_50,162300
1,407,structured_50,156600
1,407,dense,175900
1,408,dense,184600
1,408,structured_50,186400
1,409,structured_50,185700
1,409,dense,184900
1,410,dense,171400
1,410,structured_50,159100
1,411,structured_50,157800
1,411,dense,346000
1,412,dense,462900
1,412,structured_50,262200
1,413,structured_50,329800
1,413,dense,226700
1,414,dense,183400
1,414,structured_50,170300
1,415,structured_50,169000
1,415,dense,177500
1,416,dense,189700
1,416,structured_50,178100
1,417,structured_50,187800
1,417,dense,203700
1,418,dense,180700
1,418,structured_50,164600
1,419,structured_50,157600
1,419,dense,169200
1,420,dense,167300
1,420,structured_50,159400
1,421,structured_50,166500
1,421,dense,194900
1,422,dense,192800
1,422,structured_50,172600
1,423,structured_50,166700
1,423,dense,191000
1,424,dense,188100
1,424,structured_50,194000
1,425,structured_50,167400
1,425,dense,176000
1,426,dense,169300
1,426,structured_50,159400
1,427,structured_50,174300
1,427,dense,173800
1,428,dense,169800
1,428,structured_50,158700
1,429,structured_50,180000
1,429,dense,197200
1,430,dense,178800
1,430,structured_50,160900
1,431,structured_50,158400
1,431,dense,168900
1,432,dense,186700
1,432,structured_50,180600
1,433,structured_50,178000
1,433,dense,181800
1,434,dense,170300
1,434,structured_50,177400
1,435,structured_50,166900
1,435,dense,171300
1,436,dense,168600
1,436,structured_50,157500
1,437,structured_50,155400
1,437,dense,167600
1,438,dense,166200
1,438,structured_50,156900
1,439,structured_50,154000
1,439,dense,166800
1,440,dense,166100
1,440,structured_50,169100
1,441,structured_50,197700
1,441,dense,193300
1,442,dense,209700
1,442,structured_50,351200
1,443,structured_50,189100
1,443,dense,184900
1,444,dense,175700
1,444,structured_50,163100
1,445,structured_50,157100
1,445,dense,184600
1,446,dense,188100
1,446,structured_50,162400
1,447,structured_50,159900
1,447,dense,171100
1,448,dense,167500
1,448,structured_50,156700
1,449,structured_50,156400
1,449,dense,168000
1,450,dense,167800
1,450,structured_50,157500
1,451,structured_50,155500
1,451,dense,181600
1,452,dense,184400
1,452,structured_50,161300
1,453,structured_50,156600
1,453,dense,168200
1,454,dense,170600
1,454,structured_50,157800
1,455,structured_50,257100
1,455,dense,180800
1,456,dense,170300
1,456,structured_50,160000
1,457,structured_50,168700
1,457,dense,197600
1,458,dense,175700
1,458,structured_50,158500
1,459,structured_50,155400
1,459,dense,168000
1,460,dense,167500
1,460,structured_50,157800
1,461,structured_50,153600
1,461,dense,167300
1,462,dense,165800
1,462,structured_50,156700
1,463,structured_50,155700
1,463,dense,194000
1,464,dense,174900
1,464,structured_50,160000
1,465,structured_50,154900
1,465,dense,168800
1,466,dense,166300
1,466,structured_50,156200
1,467,structured_50,153800
1,467,dense,165300
1,468,dense,164800
1,468,structured_50,156300
1,469,structured_50,152400
1,469,dense,191100
1,470,dense,173300
1,470,structured_50,159300
1,471,structured_50,155900
1,471,dense,167500
1,472,dense,166200
1,472,structured_50,156800
1,473,structured_50,221000
1,473,dense,851800
1,474,dense,484200
1,474,structured_50,223700
1,475,structured_50,177800
1,475,dense,188500
1,476,dense,181300
1,476,structured_50,176100
1,477,structured_50,180000
1,477,dense,176700
1,478,dense,173200
1,478,structured_50,161800
1,479,structured_50,161700
1,479,dense,202500
1,480,dense,176700
1,480,structured_50,179200
1,481,structured_50,186900
1,481,dense,192200
1,482,dense,199100
1,482,structured_50,170900
1,483,structured_50,160800
1,483,dense,172000
1,484,dense,169500
1,484,structured_50,186100
1,485,structured_50,194800
1,485,dense,198100
1,486,dense,180800
1,486,structured_50,189300
1,487,structured_50,190600
1,487,dense,180200
1,488,dense,173300
1,488,structured_50,161100
1,489,structured_50,162200
1,489,dense,178400
1,490,dense,186100
1,490,structured_50,193300
1,491,structured_50,177400
1,491,dense,198200
1,492,dense,194000
1,492,structured_50,165800
1,493,structured_50,161200
1,493,dense,171200
1,494,dense,183600
1,494,structured_50,198800
1,495,structured_50,165700
1,495,dense,172900
1,496,dense,198000
1,496,structured_50,181000
1,497,structured_50,176300
1,497,dense,181000
1,498,dense,172800
1,498,structured_50,160900
1,499,structured_50,157300
1,499,dense,179600
1,500,dense,185800
1,500,structured_50,207100
1,501,structured_50,193800
1,501,dense,206900
1,502,dense,185500
1,502,structured_50,253900
1,503,structured_50,199000
1,503,dense,188400
1,504,dense,334200
1,504,structured_50,284100
1,505,structured_50,180300
1,505,dense,339600
1,506,dense,208300
1,506,structured_50,172300
1,507,structured_50,164600
1,507,dense,242600
1,508,dense,186500
1,508,structured_50,165500
1,509,structured_50,161300
1,509,dense,172100
1,510,dense,170600
1,510,structured_50,164400
1,511,structured_50,157200
1,511,dense,171600
1,512,dense,170400
1,512,structured_50,160500
1,513,structured_50,170200
1,513,dense,191100
1,514,dense,173700
1,514,structured_50,163900
1,515,structured_50,157400
1,515,dense,172200
1,516,dense,170900
1,516,structured_50,168800
1,517,structured_50,172100
1,517,dense,175900
1,518,dense,171300
1,518,structured_50,161100
1,519,structured_50,179900
1,519,dense,180700
1,520,dense,171900
1,520,structured_50,161100
1,521,structured_50,163400
1,521,dense,170800
1,522,dense,170800
1,522,structured_50,159700
1,523,structured_50,156700
1,523,dense,169700
1,524,dense,168700
1,524,structured_50,156900
1,525,structured_50,208300
1,525,dense,182100
1,526,dense,170200
1,526,structured_50,162300
1,527,structured_50,158700
1,527,dense,170600
1,528,dense,192000
1,528,structured_50,166600
1,529,structured_50,160100
1,529,dense,172200
1,530,dense,174400
1,530,structured_50,534900
1,531,structured_50,361300
1,531,dense,257000
1,532,dense,252800
1,532,structured_50,182800
1,533,structured_50,168200
1,533,dense,181200
1,534,dense,174700
1,534,structured_50,276700
1,535,structured_50,297400
1,535,dense,255700
1,536,dense,181900
1,536,structured_50,165700
1,537,structured_50,161200
1,537,dense,172400
1,538,dense,169400
1,538,structured_50,158700
1,539,structured_50,154200
1,539,dense,168800
1,540,dense,201800
1,540,structured_50,165100
1,541,structured_50,158600
1,541,dense,169700
1,542,dense,168500
1,542,structured_50,161600
1,543,structured_50,155000
1,543,dense,168000
1,544,dense,166900
1,544,structured_50,302700
1,545,structured_50,251600
1,545,dense,185200
1,546,dense,178800
1,546,structured_50,167500
1,547,structured_50,166700
1,547,dense,180600
1,548,dense,177700
1,548,structured_50,174000
1,549,structured_50,198000
1,549,dense,214700
1,550,dense,188700
1,550,structured_50,179300
1,551,structured_50,172500
1,551,dense,176700
1,552,dense,174600
1,552,structured_50,162900
1,553,structured_50,169500
1,553,dense,172200
1,554,dense,171300
1,554,structured_50,173800
1,555,structured_50,184700
1,555,dense,178700
1,556,dense,174400
1,556,structured_50,161900
1,557,structured_50,159800
1,557,dense,172100
1,558,dense,174400
1,558,structured_50,165700
1,559,structured_50,224800
1,559,dense,189300
1,560,dense,186600
1,560,structured_50,211000
1,561,structured_50,253700
1,561,dense,209300
1,562,dense,178300
1,562,structured_50,211100
1,563,structured_50,188500
1,563,dense,199900
1,564,dense,181300
1,564,structured_50,162200
1,565,structured_50,160200
1,565,dense,203800
1,566,dense,177000
1,566,structured_50,163800
1,567,structured_50,159100
1,567,dense,172900
1,568,dense,170000
1,568,structured_50,160600
1,569,structured_50,157200
1,569,dense,170200
1,570,dense,169900
1,570,structured_50,159600
1,571,structured_50,155400
1,571,dense,195600
1,572,dense,177500
1,572,structured_50,161800
1,573,structured_50,158300
1,573,dense,170100
1,574,dense,171900
1,574,structured_50,159300
1,575,structured_50,157400
1,575,dense,168900
1,576,dense,168000
1,576,structured_50,157600
1,577,structured_50,155500
1,577,dense,196200
1,578,dense,174000
1,578,structured_50,160900
1,579,structured_50,157500
1,579,dense,168700
1,580,dense,168100
1,580,structured_50,158200
1,581,structured_50,156300
1,581,dense,168500
1,582,dense,168700
1,582,structured_50,159200
1,583,structured_50,155800
1,583,dense,195700
1,584,dense,174400
1,584,structured_50,166100
1,585,structured_50,163700
1,585,dense,170100
1,586,dense,168200
1,586,structured_50,160000
1,587,structured_50,156700
1,587,dense,170000
1,588,dense,166600
1,588,structured_50,184500
1,589,structured_50,256900
1,589,dense,183900
1,590,dense,186100
1,590,structured_50,198400
1,591,structured_50,159200
1,591,dense,171000
1,592,dense,211600
1,592,structured_50,361900
1,593,structured_50,186200
1,593,dense,180700
1,594,dense,173700
1,594,structured_50,166800
1,595,structured_50,192100
1,595,dense,178200
1,596,dense,170600
1,596,structured_50,160700
1,597,structured_50,158400
1,597,dense,169200
1,598,dense,166800
1,598,structured_50,159100
1,599,structured_50,156600
1,599,dense,168700
1,600,dense,167000
1,600,structured_50,156800
1,601,structured_50,182200
1,601,dense,174700
1,602,dense,171600
1,602,structured_50,160000
1,603,structured_50,155600
1,603,dense,168000
1,604,dense,166600
1,604,structured_50,158000
1,605,structured_50,155400
1,605,dense,167700
1,606,dense,168200
1,606,structured_50,156800
1,607,structured_50,182500
1,607,dense,174600
1,608,dense,169600
1,608,structured_50,158200
1,609,structured_50,156200
1,609,dense,168200
1,610,dense,168200
1,610,structured_50,158500
1,611,structured_50,155100
1,611,dense,167700
1,612,dense,166300
1,612,structured_50,157200
1,613,structured_50,178700
1,613,dense,173500
1,614,dense,169700
1,614,structured_50,158300
1,615,structured_50,155700
1,615,dense,167100
1,616,dense,166700
1,616,structured_50,161000
1,617,structured_50,154800
1,617,dense,167400
1,618,dense,166900
1,618,structured_50,157500
1,619,structured_50,174600
1,619,dense,177500
1,620,dense,169200
1,620,structured_50,158400
1,621,structured_50,156200
1,621,dense,168300
1,622,dense,167000
1,622,structured_50,157800
1,623,structured_50,156600
1,623,dense,172800
1,624,dense,231500
1,624,structured_50,241300
1,625,structured_50,232600
1,625,dense,197100
1,626,dense,192200
1,626,structured_50,196800
1,627,structured_50,192000
1,627,dense,188500
1,628,dense,183900
1,628,structured_50,176900
1,629,structured_50,158000
1,629,dense,163100
1,630,dense,193900
1,630,structured_50,163900
